molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL56697,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,22000.0,inactive
CHEMBL328907,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,15300.0,inactive
CHEMBL2092743,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)c1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,100000.0,inactive
CHEMBL541307,CN(C)CC(CNNC(N)=O)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive
CHEMBL538757,COC(=O)c1ccccc1SCC(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive
CHEMBL538507,Cc1ccc(SCC(CN(C)C)C(=O)c2ccc(OCc3ccccc3)cc2)cc1C.Cl,100000.0,inactive
CHEMBL552859,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive
CHEMBL544074,C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive
CHEMBL545006,Cl.O=C(CCN1CCCCC1)c1ccc(OCc2ccccc2)cc1,100000.0,inactive
CHEMBL542891,CCOC(=O)C1CCN(CCC(=O)c2ccc(OCc3ccccc3)cc2)CC1.Cl,100000.0,inactive
CHEMBL544538,C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,100000.0,inactive
CHEMBL80030,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,50000.0,inactive
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,10000.0,inactive
CHEMBL543361,CN(C)CC(CSCCN)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,50000.0,inactive
CHEMBL151546,NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2,60000.0,inactive
CHEMBL78249,N#CC(Cc1ccc(O)c(O)c1)C(=N)S,100000.0,inactive
