,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
759,,,,,658.48,4.425800000000002,5.0,9.0,,
761,,,,,419.6700000000002,6.301500000000003,0.0,2.0,,
762,CHEMBL1241684,CC(C)n1nc(-c2cc3cc(C=O)ccc3s2)c2c(N)ncnc21,50000.0,inactive,466.5410000000003,4.354000000000003,2.0,6.0,50000.0,4.301029995663981
764,CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1.0,active,411.4690000000001,4.007320000000001,4.0,7.0,1.0,9.0
765,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,410.0,active,427.53300000000013,5.564820000000004,2.0,6.0,410.0,6.3872161432802645
766,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,120.0,active,381.43900000000014,4.842920000000003,2.0,5.0,120.0,6.920818753952375
767,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0.5,active,554.5440000000001,5.232500000000004,2.0,5.0,0.5,9.301029995663981
768,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,26.0,active,527.6690000000006,5.986420000000005,2.0,6.0,26.0,7.585026652029182
770,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,188.0,active,501.5130000000003,3.1620000000000017,2.0,8.0,188.0,6.72584215073632
771,CHEMBL264406,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,600.0,active,418.51600000000025,3.6629000000000023,2.0,3.0,600.0,6.221848749616356
772,CHEMBL264406,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,7.0,active,404.4890000000002,3.272800000000002,2.0,3.0,7.0,8.154901959985743
774,CHEMBL573578,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,120.0,active,432.5430000000002,4.051400000000003,2.0,3.0,120.0,6.920818753952375
775,CHEMBL1258913,O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,10000.0,inactive,363.24800000000016,2.9578800000000003,2.0,4.0,10000.0,5.0
776,CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,10000.0,inactive,363.24800000000016,2.9578800000000003,2.0,4.0,10000.0,5.0
777,CHEMBL1276179,CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1,286.0,active,427.5080000000002,5.217800000000004,2.0,6.0,286.0,6.543633966870957
778,CHEMBL1290072,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,392000.0,inactive,427.5080000000002,5.217800000000004,2.0,6.0,392000.0,3.406713932979543
792,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,23000.0,inactive,391.47500000000014,3.3051000000000013,4.0,4.0,23000.0,4.638272163982407
793,CHEMBL2012519,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,10000.0,inactive,308.341,2.0812000000000004,3.0,4.0,10000.0,5.0
794,CHEMBL1651521,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,10000.0,inactive,334.4230000000001,2.849100000000001,2.0,5.0,10000.0,5.0
795,CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,100000.0,inactive,348.45000000000016,3.239200000000001,2.0,5.0,100000.0,4.0
796,CHEMBL1688860,CN(C)Cc1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,1.2,active,362.4770000000001,3.581400000000002,1.0,5.0,1.2,8.920818753952375
797,CHEMBL1688861,CC(C)(N)c1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,0.5,active,334.4230000000001,2.991600000000001,2.0,5.0,0.5,9.301029995663981
799,CHEMBL1762114,CN(C)C(=O)N1CCC(c2nc(-c3cc4ccccc4[nH]3)c3c(N)nccn23)CC1,10000.0,inactive,505.6960000000004,3.5812000000000017,3.0,10.0,10000.0,5.0
802,CHEMBL1765716,Cc1ccc(NC(=O)c2ccc(CN)cc2)cc1Nc1nccc(-c2cccnc2)n1,20000.0,inactive,424.9360000000002,3.6587000000000014,2.0,7.0,20000.0,4.698970004336019
803,CHEMBL1765717,Cc1ccc(NC(=O)c2ccc(CNC(=O)CCl)cc2)cc1Nc1nccc(-c2cccnc2)n1,20000.0,inactive,383.8830000000001,4.630100000000002,1.0,6.0,20000.0,4.698970004336019
804,CHEMBL1765718,C/C=C/C(=O)NCc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,20000.0,inactive,438.9630000000002,4.048800000000002,2.0,7.0,20000.0,4.698970004336019
805,CHEMBL1765719,C=C(C)C(=O)NCc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,20000.0,inactive,439.9510000000002,3.4438000000000013,2.0,8.0,20000.0,4.698970004336019
806,CHEMBL1766529,CC(=O)N1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3c2)CC1,10000.0,inactive,438.96300000000025,4.315900000000003,1.0,7.0,10000.0,5.0
807,CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,10000.0,inactive,452.99000000000024,4.391000000000003,1.0,7.0,10000.0,5.0
808,CHEMBL1779202,CC1(C)c2cc(C3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,370.0,active,381.415,3.638000000000001,2.0,7.0,370.0,6.431798275933005
809,CHEMBL1784725,CCOC(=O)c1c2c3cccc4cccc(c-2nc1=O)c43,10000.0,inactive,322.36800000000017,2.25572,2.0,6.0,10000.0,5.0
810,CHEMBL1231371,CC(C)(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,1000.0,active,547.541,6.079540000000005,2.0,6.0,1000.0,6.0
811,,,,,603.653,5.347500000000004,2.0,8.0,,
812,CHEMBL1784641,CC(=O)Nc1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)s1,12.0,active,601.6370000000002,5.101500000000004,2.0,8.0,12.0,7.920818753952375
813,CHEMBL1784640,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(N)s1,29.0,active,589.626,4.786500000000004,2.0,8.0,29.0,7.5376020021010435
814,CHEMBL1784639,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CC(=O)O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C,4.3,active,640.4680000000001,4.986600000000004,2.0,8.0,4.3,8.366531544420413
815,CHEMBL1784638,COCCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc(C(N)=O)n4C)c3)cc2C(F)(F)F)CC1,4.8,active,596.0170000000002,4.877500000000003,2.0,8.0,4.8,8.318758762624412
816,CHEMBL1784637,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,17.2,active,579.5620000000001,4.363200000000003,2.0,8.0,17.2,7.764471553092451
817,CHEMBL1236871,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C,3.6,active,561.5720000000001,4.224100000000003,2.0,8.0,3.6,8.443697499232712
818,CHEMBL1784636,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(=O)NCCO)n1C,55.0,active,544.5010000000001,4.674240000000003,2.0,9.0,55.0,7.259637310505756
819,CHEMBL1784635,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)n1C,17.4,active,530.474,4.365820000000003,2.0,9.0,17.4,7.7594507517174005
820,CHEMBL1784634,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C,3.6,active,543.513,5.279240000000002,2.0,8.0,3.6,8.443697499232712
821,CHEMBL1784633,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C)n1C,72.6,active,601.6370000000001,4.778520000000003,2.0,8.0,72.6,7.139063379299906
822,CHEMBL1784632,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,129.0,active,603.653,5.311120000000004,2.0,8.0,129.0,6.889410289700751
823,CHEMBL1784631,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc[nH]1,1000.0,active,658.733,4.996920000000005,2.0,9.0,1000.0,6.0
824,CHEMBL1784630,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(NC2CC2)nc1,49.7,active,589.626,4.922620000000004,2.0,8.0,49.7,7.303643611266668
825,CHEMBL1784629,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(C(N)=O)nc1,48.7,active,562.556,4.617320000000003,2.0,8.0,48.7,7.3124710387853655
826,CHEMBL1784628,CCC(=O)Nc1ccc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,28.6,active,560.584,5.771020000000006,2.0,7.0,28.6,7.543633966870957
827,CHEMBL1784627,CC(=O)Nc1ccc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,18.0,active,589.626,4.921020000000004,2.0,8.0,18.0,7.7447274948966935
828,CHEMBL1784626,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,62.7,active,589.626,4.921020000000004,2.0,8.0,62.7,7.202732459169283
829,CHEMBL1784625,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccnc1,40.3,active,546.557,5.380920000000005,2.0,7.0,40.3,7.394694953858891
830,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,8.6,active,589.626,4.840940000000003,2.0,8.0,8.6,8.065501548756432
831,CHEMBL1784637,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,0.2,active,575.599,4.5325200000000025,2.0,8.0,0.2,9.698970004336019
833,CHEMBL1813632,O=C(Nc1ccc(Oc2ncnc3scc(-c4ccccc4)c23)c(F)c1)c1cccn(-c2ccc(F)cc2)c1=O,10000.0,inactive,573.623,5.742520000000005,2.0,6.0,10000.0,5.0
836,CHEMBL1823221,CCc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,50000.0,inactive,619.6959999999998,5.041520000000004,1.0,9.0,50000.0,4.301029995663981
837,CHEMBL1779202,CC1(C)c2cc(C3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,370.0,active,641.7020000000001,5.663320000000005,2.0,9.0,370.0,6.431798275933005
838,CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,24.0,active,633.7229999999997,5.795820000000005,2.0,9.0,24.0,7.619788758288394
